gene	core	inter	rare	total_presence	truncation_assignments	gene_class	label	fill	means
group_5360*	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.05974026
group_5361	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_5362	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_5363	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_2819**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_2820	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_5364*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_2945********	2	8	4	14	normal	Varied	14/47	Core, intermediate and rare	0.523238
group_4983***	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.08374656
group_4985**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.07272727
group_4986	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
relE_1*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
relB**	8	1	6	15	normal	Varied	15/47	Core, intermediate and rare	0.615375
group_4990	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
bglF_1*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
bglC	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
licT_2	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
group_8389***	0	9	13	22	normal	Varied	22/47	Intermediate and rare	0.193496
group_6070*****	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
papD_2*	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.02727273
prsF	2	14	5	21	normal	Varied	21/47	Core, intermediate and rare	0.5417422
papG	2	11	5	18	normal	Varied	18/47	Core, intermediate and rare	0.4776502
group_816******	0	6	9	15	normal	Varied	15/47	Intermediate and rare	0.1891697
group_5651**	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06895986
group_5652*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06895986
group_5765*****	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.0383937
group_10213	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.1404959
group_1481***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1454545
group_4956***	8	1	0	9	common variant (long)	Varied	9/47	Core and intermediate	0.8820684
group_53*	1	8	0	9	common variant (long)	Varied	9/47	Core and intermediate	0.805855
group_6355**	7	1	0	8	normal	Varied	8/47	Core and intermediate	0.889448
group_621*	1	5	9	15	normal	Varied	15/47	Core, intermediate and rare	0.2147066
group_3540**	0	2	4	6	normal	Varied	6/47	Intermediate and rare	0.0911026
smf-1**	0	3	5	8	normal	Varied	8/47	Intermediate and rare	0.09893392
group_3528*******	0	3	3	6	normal	Varied	6/47	Intermediate and rare	0.09915005
group_3151	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.08017984
group_6373*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.05798745
traY*	1	12	18	31	normal	Varied	31/47	Core, intermediate and rare	0.1909596
group_6646*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.04114977
group_1067*	1	5	1	7	normal	Varied	7/47	Core, intermediate and rare	0.5967557
group_805	3	3	2	8	normal	Varied	8/47	Core, intermediate and rare	0.6028272
group_3193***	0	1	7	8	common variant (short)	Varied	8/47	Intermediate and rare	0.06474083
group_3190****	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.05612728
group_5016**	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.02868217
papG*	0	4	5	9	normal	Varied	9/47	Intermediate and rare	0.2403393
papE*	0	3	6	9	normal	Varied	9/47	Intermediate and rare	0.2425104
group_5699**********	0	7	0	7	normal	Intermediate	7/47	Multi-cluster intermediate	0.4793619
group_3629*****	0	6	8	14	normal	Varied	14/47	Intermediate and rare	0.1798202
group_972	2	11	11	24	normal	Varied	24/47	Core, intermediate and rare	0.2889566
glpR_3	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.08787058
group_5915*****	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.08787058
group_5463************	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.03541717
group_1373*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.03446479
lacY_2	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.04378265
group_500	3	14	2	19	common variant (long)	Varied	19/47	Core, intermediate and rare	0.7163048
group_4082*********	3	8	3	14	normal	Varied	14/47	Core, intermediate and rare	0.5550221
ythA	3	9	2	14	normal	Varied	14/47	Core, intermediate and rare	0.5553281
yjhC	3	11	4	18	normal	Varied	18/47	Core, intermediate and rare	0.5059672
yjhB*	3	10	4	17	normal	Varied	17/47	Core, intermediate and rare	0.4949629
group_6072****	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_3948*	0	6	10	16	common variant (long)	Varied	16/47	Intermediate and rare	0.2008698
papA_3	1	1	6	8	normal	Varied	8/47	Core, intermediate and rare	0.226059
tufB*	0	14	0	14	secondary variant (short)	Intermediate	14/47	Multi-cluster intermediate	0.6924133
cea**	0	4	2	6	normal	Varied	6/47	Intermediate and rare	0.3882342
group_4444**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.06384665
group_3973***	0	3	14	17	normal	Varied	17/47	Intermediate and rare	0.1194212
group_3208*	0	3	14	17	normal	Varied	17/47	Intermediate and rare	0.1179506
group_7674***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.03636364
group_3878*****	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.04805611
group_6026*	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.03234266
group_7586	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_4366*	0	0	1	1	secondary variant (long)	Rare	1/47	Cluster specific rare	0.03636364
papE**	0	8	7	15	normal	Varied	15/47	Intermediate and rare	0.267642
afaD*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.05069783
caf1A**	0	1	7	8	common variant (long)	Varied	8/47	Intermediate and rare	0.05441162
caf1M***	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.05093833
group_5557***	2	0	3	5	normal	Varied	5/47	Core and rare	0.4363138
kpsT*	5	5	3	13	normal	Varied	13/47	Core, intermediate and rare	0.6809199
epsM_2	4	6	3	13	normal	Varied	13/47	Core, intermediate and rare	0.6598339
legI*	4	6	3	13	normal	Varied	13/47	Core, intermediate and rare	0.6693914
neuA**	2	8	3	13	normal	Varied	13/47	Core, intermediate and rare	0.644724
neuC	5	4	4	13	normal	Varied	13/47	Core, intermediate and rare	0.629941
group_1121**	1	8	4	13	normal	Varied	13/47	Core, intermediate and rare	0.556725
group_138*	2	7	4	13	normal	Varied	13/47	Core, intermediate and rare	0.6158831
group_4443***	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.0680622
yedY1*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06886992
yedZ1*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06941651
walR	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06941651
group_7237	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.06840641
virF	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.04958402
yjiK_2**	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.05170793
group_287**********	0	4	6	10	common variant (long)	Varied	10/47	Intermediate and rare	0.2297123
group_37**	0	6	3	9	common variant (long)	Varied	9/47	Intermediate and rare	0.4023975
group_4586***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_4862*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.09093131
mdtH_2	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.1051098
fecE_2**	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.105189
hmuU_3	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.10246
group_4860********	0	2	14	16	normal	Varied	16/47	Intermediate and rare	0.1087292
group_7250	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
kpsT**	3	9	2	14	normal	Varied	14/47	Core, intermediate and rare	0.5499753
tagD*	0	3	5	8	normal	Varied	8/47	Intermediate and rare	0.121488
group_764*****	0	3	5	8	normal	Varied	8/47	Intermediate and rare	0.119075
group_352	0	2	6	8	normal	Varied	8/47	Intermediate and rare	0.1193243
group_339	0	2	6	8	normal	Varied	8/47	Intermediate and rare	0.1186101
group_3017	0	2	6	8	normal	Varied	8/47	Intermediate and rare	0.1172577
yheI_2	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_5294*****	1	5	4	10	normal	Varied	10/47	Core, intermediate and rare	0.4014826
group_4950****	0	3	6	9	normal	Varied	9/47	Intermediate and rare	0.2535003
group_1492**	0	3	17	20	normal	Varied	20/47	Intermediate and rare	0.09297302
group_1810*	3	0	5	8	normal	Varied	8/47	Core and rare	0.398972
ogl	3	0	5	8	normal	Varied	8/47	Core and rare	0.4039613
idnO_2	3	0	6	9	normal	Varied	9/47	Core and rare	0.3600194
group_5665******	2	1	5	8	normal	Varied	8/47	Core, intermediate and rare	0.3944023
yagG	2	1	6	9	normal	Varied	9/47	Core, intermediate and rare	0.3419819
pelX	2	1	5	8	normal	Varied	8/47	Core, intermediate and rare	0.3711339
group_5251*	2	1	5	8	normal	Varied	8/47	Core, intermediate and rare	0.3664667
group_2786	2	1	2	5	normal	Varied	5/47	Core, intermediate and rare	0.5760523
group_2082**	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.2255682
papA_2	0	2	2	4	normal	Varied	4/47	Intermediate and rare	0.1833101
group_7475**	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.009090909
kdpD_1	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.02727273
hipO_2	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_7477	0	0	2	2	common variant (short)	Rare	2/47	Multi-cluster rare	0.02909091
group_4336****	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.01909693
group_27*	0	1	0	1	normal	Intermediate	1/47	Cluster specific intermediate	0.1727273
group_285******	2	14	11	27	normal	Varied	27/47	Core, intermediate and rare	0.3453256
group_576	1	16	11	28	normal	Varied	28/47	Core, intermediate and rare	0.3429584
group_6384****	1	15	12	28	normal	Varied	28/47	Core, intermediate and rare	0.340951
group_6386****	1	15	11	27	normal	Varied	27/47	Core, intermediate and rare	0.3474378
group_3699***	1	15	11	27	common variant (long)	Varied	27/47	Core, intermediate and rare	0.350523
group_979****************	0	12	12	24	common variant (long)	Varied	24/47	Intermediate and rare	0.254083
group_3696*	0	13	14	27	normal	Varied	27/47	Intermediate and rare	0.2511794
group_2687*********	0	15	12	27	normal	Varied	27/47	Intermediate and rare	0.3158426
group_342	0	15	11	26	common variant (long)	Varied	26/47	Intermediate and rare	0.3255948
group_2685*****	0	15	12	27	normal	Varied	27/47	Intermediate and rare	0.3155392
group_1298	1	14	12	27	normal	Varied	27/47	Core, intermediate and rare	0.3359773
group_1577	1	14	12	27	normal	Varied	27/47	Core, intermediate and rare	0.3353776
group_4267**	1	9	15	25	normal	Varied	25/47	Core, intermediate and rare	0.3017044
group_6409****	1	9	15	25	normal	Varied	25/47	Core, intermediate and rare	0.3015356
group_6408*********	1	12	19	32	normal	Varied	32/47	Core, intermediate and rare	0.300087
group_110***	2	12	18	32	normal	Varied	32/47	Core, intermediate and rare	0.3315929
group_111********	2	13	18	33	normal	Varied	33/47	Core, intermediate and rare	0.3210794
group_11724	2	13	15	30	normal	Varied	30/47	Core, intermediate and rare	0.3534138
group_816*******	1	16	12	29	common variant (long)	Varied	29/47	Core, intermediate and rare	0.367824
group_7859*	2	15	12	29	normal	Varied	29/47	Core, intermediate and rare	0.3668162
group_112*********	0	15	12	27	normal	Varied	27/47	Intermediate and rare	0.3145769
group_7479**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_2244*****	1	5	7	13	normal	Varied	13/47	Core, intermediate and rare	0.3234695
group_4987**	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4307163
group_3090*	0	1	2	3	normal	Varied	3/47	Intermediate and rare	0.2959252
group_4989**	0	1	2	3	normal	Varied	3/47	Intermediate and rare	0.2995983
group_420	0	1	2	3	normal	Varied	3/47	Intermediate and rare	0.3041896
group_3885*******	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.1244755
group_2845*****	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.04545455
group_4631*****	5	12	15	32	normal	Varied	32/47	Core, intermediate and rare	0.3468203
group_2166***	2	3	8	13	common variant (long)	Varied	13/47	Core, intermediate and rare	0.2753385
pgrR_3	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.05293136
group_5261***	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.05293136
nepI_2	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.05293136
group_2339**	2	2	4	8	normal	Varied	8/47	Core, intermediate and rare	0.3855924
group_10045	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.05744895
group_5892*****	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.01886906
group_2858	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.09090909
group_2045***	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.02492305
group_4704****	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.01950123
dsdC_1	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.1
group_5764*****	0	2	17	19	normal	Varied	19/47	Intermediate and rare	0.0531088
group_5765******	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.04697939
group_1967****	2	6	9	17	normal	Varied	17/47	Core, intermediate and rare	0.2649153
group_2953	0	2	4	6	common variant (long)	Varied	6/47	Intermediate and rare	0.1679022
group_4560*****	1	8	10	19	normal	Varied	19/47	Core, intermediate and rare	0.2842882
group_150**	0	1	0	1	secondary variant (short)	Intermediate	1/47	Cluster specific intermediate	0.2272727
group_1698	1	6	19	26	normal	Varied	26/47	Core, intermediate and rare	0.2093746
group_5255**	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.05189396
group_1761*******	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.09930073
rrrD_1	2	6	4	12	common variant (long)	Varied	12/47	Core, intermediate and rare	0.4408626
group_4951*	0	2	4	6	normal	Varied	6/47	Intermediate and rare	0.2198401
group_3381	5	27	6	38	normal	Varied	38/47	Core, intermediate and rare	0.5569178
group_7924***	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.02091808
group_23*	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.1325069
group_3750***	1	1	13	15	normal	Varied	15/47	Core, intermediate and rare	0.1253816
group_3751*******	1	1	13	15	normal	Varied	15/47	Core, intermediate and rare	0.1253816
group_3752*******	1	1	13	15	normal	Varied	15/47	Core, intermediate and rare	0.1253816
group_118	0	3	5	8	secondary variant (long)	Varied	8/47	Intermediate and rare	0.1345936
group_2955	0	1	10	11	common variant (long)	Varied	11/47	Intermediate and rare	0.1316097
group_2584	1	1	12	14	normal	Varied	14/47	Core, intermediate and rare	0.1787132
group_116***	4	17	9	30	normal	Varied	30/47	Core, intermediate and rare	0.4048899
group_10396*	0	2	8	10	normal	Varied	10/47	Intermediate and rare	0.07094119
group_3386****	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.1032515
group_4619***	1	10	12	23	normal	Varied	23/47	Core, intermediate and rare	0.3257842
group_2956***	0	2	9	11	normal	Varied	11/47	Intermediate and rare	0.1181701
hlyC_1	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.02727273
group_3889*	0	1	7	8	normal	Varied	8/47	Intermediate and rare	0.0613042
group_5399***	0	2	3	5	normal	Varied	5/47	Intermediate and rare	0.214502
gbpR	4	4	3	11	normal	Varied	11/47	Core, intermediate and rare	0.4832251
mhbT	4	3	4	11	normal	Varied	11/47	Core, intermediate and rare	0.4865508
sdgD	4	3	4	11	normal	Varied	11/47	Core, intermediate and rare	0.4819064
nagK_1	4	3	4	11	normal	Varied	11/47	Core, intermediate and rare	0.4809766
nagL	4	3	4	11	normal	Varied	11/47	Core, intermediate and rare	0.4837034
mhbM	4	3	5	12	normal	Varied	12/47	Core, intermediate and rare	0.4460832
group_8608	0	2	7	9	normal	Varied	9/47	Intermediate and rare	0.1482816
group_8609*	0	2	6	8	normal	Varied	8/47	Intermediate and rare	0.1618168
group_5395**	0	2	5	7	normal	Varied	7/47	Intermediate and rare	0.1639225
cdiA4_2	0	1	2	3	secondary variant (short)	Varied	3/47	Intermediate and rare	0.1474978
cdiA4_2*	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.1164859
group_5401*	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.1112116
group_63	1	2	0	3	short variant	Varied	3/47	Core and intermediate	0.6668998
group_2198*	0	0	7	7	normal	Rare	7/47	Multi-cluster rare	0.0530394
group_6843	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_3797******	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.02059505
group_5488*	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.01817499
group_6855*	0	0	1	1	short variant	Rare	1/47	Cluster specific rare	0.009090909
group_6857*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_2244******	0	3	29	32	normal	Varied	32/47	Intermediate and rare	0.06549453
group_6865********	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_2053******	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.03204322
group_4122*****	0	0	18	18	common variant (long)	Rare	18/47	Multi-cluster rare	0.03438085
group_5742**	0	1	20	21	normal	Varied	21/47	Intermediate and rare	0.05738885
group_6882*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_3748*	0	0	9	9	common variant (short)	Rare	9/47	Multi-cluster rare	0.01790079
group_6884****	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.01485107
group_1966*********	0	4	15	19	normal	Varied	19/47	Intermediate and rare	0.09341074
group_6895*	0	0	1	1	short variant	Rare	1/47	Cluster specific rare	0.009090909
group_6897*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4460***	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.02620011
group_6899	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_1938	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.02335398
group_7473	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.01720368
group_6915***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_3238******	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.09399054
group_5571**	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.09068154
group_2687**********	0	0	1	1	short variant	Rare	1/47	Cluster specific rare	0.02727273
group_2686***********	0	5	12	17	normal	Varied	17/47	Intermediate and rare	0.1533148
group_2696*	0	2	7	9	normal	Varied	9/47	Intermediate and rare	0.1377236
group_2685******	0	0	1	1	short variant	Rare	1/47	Cluster specific rare	0.02727273
group_6918	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6919*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6921***	0	0	1	1	long variant	Rare	1/47	Cluster specific rare	0.009090909
group_6922	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6924	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4111***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.04545455
group_6927**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.02358662
group_6066******	0	1	18	19	normal	Varied	19/47	Intermediate and rare	0.03430014
group_6690*	0	0	11	11	common variant (long)	Rare	11/47	Multi-cluster rare	0.03533678
group_4380**	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.01818182
group_3952****	0	0	7	7	common variant (long)	Rare	7/47	Multi-cluster rare	0.01578307
group_6936	0	0	1	1	secondary variant (long)	Rare	1/47	Cluster specific rare	0.01818182
group_6939**	0	0	1	1	short variant	Rare	1/47	Cluster specific rare	0.009090909
group_6940	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4167*	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.02661651
group_6949***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4451**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.02710109
group_6950*	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.009090909
group_6951*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6952**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6953**	0	0	1	1	secondary variant (short)	Rare	1/47	Cluster specific rare	0.009090909
group_6955**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4452****	0	0	7	7	normal	Rare	7/47	Multi-cluster rare	0.01921539
group_4922	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.02727273
group_1434*	0	0	2	2	long variant	Rare	2/47	Multi-cluster rare	0.04106218
group_6958*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4787	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.01049749
group_6960	0	0	3	3	common variant (short)	Rare	3/47	Multi-cluster rare	0.0156132
group_4894	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.005770194
group_6967***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_12085	0	0	2	2	common variant (short)	Rare	2/47	Multi-cluster rare	0.01017316
group_3304***	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.03530638
group_6691***	7	2	7	16	normal	Varied	16/47	Core, intermediate and rare	0.559559
group_4957***	7	2	7	16	normal	Varied	16/47	Core, intermediate and rare	0.5564216
group_6756**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_2314	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.1071283
bshA*	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.104521
group_3392***	0	1	3	4	normal	Varied	4/47	Intermediate and rare	0.1065872
group_6757	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6758***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6759**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_7764	0	0	2	2	normal	Rare	2/47	Multi-cluster rare	0.01735537
group_6425**	0	0	21	21	normal	Rare	21/47	Multi-cluster rare	0.03919572
group_2137	0	2	16	18	normal	Varied	18/47	Intermediate and rare	0.1140506
group_926**	0	2	16	18	normal	Varied	18/47	Intermediate and rare	0.1141275
group_5635****	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_10297**	0	2	10	12	common variant (long)	Varied	12/47	Intermediate and rare	0.1763855
group_2255***	0	0	22	22	normal	Rare	22/47	Multi-cluster rare	0.0357979
group_3519*************	1	4	13	18	normal	Varied	18/47	Core, intermediate and rare	0.2195235
group_4080**	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.01407772
group_9850	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.01888964
group_5753****	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.04046595
group_5754	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.04046595
group_7279***	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.02081394
group_5911*	0	6	3	9	normal	Varied	9/47	Intermediate and rare	0.1820043
group_807****	0	2	5	7	normal	Varied	7/47	Intermediate and rare	0.253506
group_3768**	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4202479
group_3107	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4216253
group_6409*****	0	5	22	27	normal	Varied	27/47	Intermediate and rare	0.06605061
group_4185****	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.2266838
group_9760	0	0	4	4	common variant (long)	Rare	4/47	Multi-cluster rare	0.06915465
group_3906*********	0	8	13	21	normal	Varied	21/47	Intermediate and rare	0.1828571
group_2418***	0	7	4	11	common variant (long)	Varied	11/47	Intermediate and rare	0.2908029
group_6787**	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_990*	0	0	17	17	normal	Rare	17/47	Multi-cluster rare	0.02920444
group_4615*	0	0	7	7	common variant (long)	Rare	7/47	Multi-cluster rare	0.05644647
group_4983****	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.024291
group_6796**	0	0	1	1	secondary variant (long)	Rare	1/47	Cluster specific rare	0.009090909
yedS*	6	0	4	10	normal	Varied	10/47	Core and rare	0.6246602
group_3781**	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4381543
group_3780***	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4560606
group_3779**************	0	1	1	2	normal	Varied	2/47	Intermediate and rare	0.4560606
group_3778******	0	2	3	5	normal	Varied	5/47	Intermediate and rare	0.2568374
group_1517***	0	3	6	9	common variant (long)	Varied	9/47	Intermediate and rare	0.2943499
group_5647**	0	0	3	3	normal	Rare	3/47	Multi-cluster rare	0.02425746
repE**	1	11	10	22	normal	Varied	22/47	Core, intermediate and rare	0.2476157
group_4464********	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.04831508
iutA*	4	10	9	23	normal	Varied	23/47	Core, intermediate and rare	0.441695
group_6799	0	0	1	1	secondary variant (long)	Rare	1/47	Cluster specific rare	0.009090909
group_1868*	0	12	10	22	common variant (long)	Varied	22/47	Intermediate and rare	0.2232841
group_285*******	0	13	10	23	normal	Varied	23/47	Intermediate and rare	0.2074656
group_1866***	0	12	11	23	normal	Varied	23/47	Intermediate and rare	0.1919884
group_5672********	0	3	14	17	normal	Varied	17/47	Intermediate and rare	0.09196684
group_2944*	0	3	13	16	common variant (long)	Varied	16/47	Intermediate and rare	0.09469148
group_4465**	0	7	11	18	normal	Varied	18/47	Intermediate and rare	0.1583034
group_2298	0	1	2	3	normal	Varied	3/47	Intermediate and rare	0.1397543
group_2996**	1	7	14	22	normal	Varied	22/47	Core, intermediate and rare	0.249848
group_6809***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_1962**	0	2	4	6	normal	Varied	6/47	Intermediate and rare	0.1378916
group_5905	0	4	6	10	normal	Varied	10/47	Intermediate and rare	0.195126
group_6820***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6115***	1	0	6	7	normal	Varied	7/47	Core and rare	0.1538691
group_6822*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_6823*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_2748*	0	5	9	14	normal	Varied	14/47	Intermediate and rare	0.1631627
group_2232****	0	12	9	21	normal	Varied	21/47	Intermediate and rare	0.2250774
group_5575***	0	13	8	21	normal	Varied	21/47	Intermediate and rare	0.2404323
group_1569	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.01818182
group_1517****	0	11	10	21	normal	Varied	21/47	Intermediate and rare	0.2208115
group_6825*	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_706	0	13	8	21	normal	Varied	21/47	Intermediate and rare	0.2427287
group_3959******	0	13	8	21	normal	Varied	21/47	Intermediate and rare	0.2450382
group_6827***	0	0	1	1	normal	Rare	1/47	Cluster specific rare	0.009090909
group_4894*	2	4	15	21	normal	Varied	21/47	Core, intermediate and rare	0.2306366
crcB_2	2	4	14	20	normal	Varied	20/47	Core, intermediate and rare	0.2422046
